transactionId,accountId,accountProductType,providerId,transactionDescription,category_group,category_name,category_icon,merchant_name,creditDebitIndicator,amount_value,amount_currency,bookingDateTime,booking_year,booking_month,booking_day,booking_weekday,anomaly_flag
8934c440-fd1b-4f4a-9b53-7a00d7f0a30d,5053cbd4-a32b-301d-b17f-aeb7ebc637aa,0,0,10,2,17,https://tg-merchants-prod.tarabut.com/category/OTHER_TRANSFERS.svg,56,1,5.017279836814924,SAR,2024-05-21 00:00:00+00:00,2024,5,21,1,1
31f71281-b59c-4a14-92d1-4d96ba212ac7,5053cbd4-a32b-301d-b17f-aeb7ebc637aa,0,0,10,2,17,https://tg-merchants-prod.tarabut.com/category/OTHER_TRANSFERS.svg,56,1,5.017279836814924,SAR,2024-05-21 00:00:00+00:00,2024,5,21,1,1
dd330de8-45e7-40ca-a012-d8078e7a87b6,5053cbd4-a32b-301d-b17f-aeb7ebc637aa,0,0,122,1,12,https://tg-merchants-prod.tarabut.com/category/INCOME_OTHER_INCOME.svg,56,0,2.917770732084279,SAR,2024-05-05 00:00:00+00:00,2024,5,5,6,0
f135bf3c-04c2-45c6-b4fb-185cee532cd7,5053cbd4-a32b-301d-b17f-aeb7ebc637aa,0,0,53,1,12,https://tg-merchants-prod.tarabut.com/category/INCOME_OTHER_INCOME.svg,56,0,0.009950330853168083,SAR,2024-08-04 00:00:00+00:00,2024,8,4,6,1
f1265286-37b1-417d-9757-deead4d2e934,5053cbd4-a32b-301d-b17f-aeb7ebc637aa,0,0,53,1,12,https://tg-merchants-prod.tarabut.com/category/INCOME_OTHER_INCOME.svg,56,0,0.009950330853168083,SAR,2024-08-04 00:00:00+00:00,2024,8,4,6,1
25b1db58-b521-4473-97d0-9759504a15cc,5053cbd4-a32b-301d-b17f-aeb7ebc637aa,0,0,122,1,12,https://tg-merchants-prod.tarabut.com/category/INCOME_OTHER_INCOME.svg,56,0,1.410986973710262,SAR,2024-07-30 00:00:00+00:00,2024,7,30,1,0
6545a687-4cb3-4980-bb14-716d5e626c2d,5053cbd4-a32b-301d-b17f-aeb7ebc637aa,0,0,122,1,12,https://tg-merchants-prod.tarabut.com/category/INCOME_OTHER_INCOME.svg,56,0,1.410986973710262,SAR,2024-07-30 00:00:00+00:00,2024,7,30,1,0
4f8026d1-5bc7-47d8-8863-5b9e5d4e7cc2,5053cbd4-a32b-301d-b17f-aeb7ebc637aa,0,0,122,1,12,https://tg-merchants-prod.tarabut.com/category/INCOME_OTHER_INCOME.svg,56,0,3.9749978045895347,SAR,2024-07-01 00:00:00+00:00,2024,7,1,0,0
9c2db318-49a9-4b3d-a976-91196b029c0c,5053cbd4-a32b-301d-b17f-aeb7ebc637aa,0,0,122,1,12,https://tg-merchants-prod.tarabut.com/category/INCOME_OTHER_INCOME.svg,56,0,3.9749978045895347,SAR,2024-07-01 00:00:00+00:00,2024,7,1,0,0
6937bad3-1046-42d6-86e3-cadac2e964cc,5053cbd4-a32b-301d-b17f-aeb7ebc637aa,0,0,122,1,12,https://tg-merchants-prod.tarabut.com/category/INCOME_OTHER_INCOME.svg,56,0,3.8918202981106265,SAR,2024-06-18 00:00:00+00:00,2024,6,18,1,0
